,Year,Month,Day,Sentiment,Count
276,2020,4,22,positive,155783
277,2020,4,23,negative,800717
278,2020,4,23,neutral,897275
279,2020,4,23,positive,162116
280,2020,4,24,negative,843035
281,2020,4,24,neutral,1042233
282,2020,4,24,positive,205650
283,2020,4,25,negative,1080125
284,2020,4,25,neutral,1111303
285,2020,4,25,positive,182142
286,2020,4,26,negative,1127152
287,2020,4,26,neutral,1053340
288,2020,4,26,positive,173997
289,2020,4,27,negative,1075196
290,2020,4,27,neutral,1144061
291,2020,4,27,positive,195564
292,2020,4,28,negative,808979
293,2020,4,28,neutral,842917
294,2020,4,28,positive,135317
295,2020,4,29,negative,618533
296,2020,4,29,neutral,633801
297,2020,4,29,positive,123804
298,2020,4,30,negative,834683
299,2020,4,30,neutral,902590
300,2020,4,30,positive,184956
301,2020,5,1,negative,762468
302,2020,5,1,neutral,933330
303,2020,5,1,positive,174887
304,2020,5,2,negative,843162
305,2020,5,2,neutral,889655
306,2020,5,2,positive,167662
307,2020,5,3,negative,895659
308,2020,5,3,neutral,924878
309,2020,5,3,positive,165242
310,2020,5,4,negative,978404
311,2020,5,4,neutral,974167
312,2020,5,4,positive,164999
313,2020,5,5,negative,518947
314,2020,5,5,neutral,537830
315,2020,5,5,positive,115329
316,2020,5,6,negative,1048751
317,2020,5,6,neutral,989347
318,2020,5,6,positive,194664
319,2020,5,7,negative,1211408
320,2020,5,7,neutral,1136458
321,2020,5,7,positive,211138
322,2020,5,8,negative,1066409
323,2020,5,8,neutral,1049025
324,2020,5,8,positive,203376
325,2020,5,9,negative,961539
326,2020,5,9,neutral,1061652
327,2020,5,9,positive,196314
328,2020,5,10,negative,994443
329,2020,5,10,neutral,1101411
330,2020,5,10,positive,190712
331,2020,5,11,negative,1149332
332,2020,5,11,neutral,1274432
333,2020,5,11,positive,225094
334,2020,5,12,negative,1140513
335,2020,5,12,neutral,1193348
336,2020,5,12,positive,196789
337,2020,5,13,negative,1230672
338,2020,5,13,neutral,1254835
339,2020,5,13,positive,204098
340,2020,5,14,negative,1173714
341,2020,5,14,neutral,1204684
342,2020,5,14,positive,206032
343,2020,5,15,negative,1155303
344,2020,5,15,neutral,1183881
345,2020,5,15,positive,201194
346,2020,5,16,negative,1069624
347,2020,5,16,neutral,1042680
348,2020,5,16,positive,199783
349,2020,5,17,negative,1119193
350,2020,5,17,neutral,1030086
351,2020,5,17,positive,178960
352,2020,5,18,negative,1127237
353,2020,5,18,neutral,1180272
354,2020,5,18,positive,186919
355,2020,5,19,negative,1112594
356,2020,5,19,neutral,1127077
357,2020,5,19,positive,189823
358,2020,5,20,negative,1129791
359,2020,5,20,neutral,1073284
360,2020,5,20,positive,197151
361,2020,5,21,negative,1085796
362,2020,5,21,neutral,1101681
363,2020,5,21,positive,183519
364,2020,5,22,negative,963732
365,2020,5,22,neutral,1031279
366,2020,5,22,positive,187626
367,2020,5,23,negative,988809
368,2020,5,23,neutral,957617
369,2020,5,23,positive,173097
370,2020,5,24,negative,1078468
371,2020,5,24,neutral,878271
372,2020,5,24,positive,175900
373,2020,5,25,negative,986311
374,2020,5,25,neutral,900565
375,2020,5,25,positive,181828
376,2020,5,26,negative,943470
377,2020,5,26,neutral,898891
378,2020,5,26,positive,200750
379,2020,5,27,negative,984918
380,2020,5,27,neutral,848085
381,2020,5,27,positive,148590
382,2020,5,28,negative,1122022
383,2020,5,28,neutral,862335
384,2020,5,28,positive,163602
385,2020,5,29,negative,1241142
386,2020,5,29,neutral,825965
387,2020,5,29,positive,144482
388,2020,5,30,negative,1264988
389,2020,5,30,neutral,694736
390,2020,5,30,positive,130850
391,2020,5,31,negative,1320520
392,2020,5,31,neutral,718878
393,2020,5,31,positive,124468
394,2020,6,1,negative,1129221
395,2020,6,1,neutral,738845
396,2020,6,1,positive,119633
397,2020,6,2,negative,993241
398,2020,6,2,neutral,825337
399,2020,6,2,positive,120688
400,2020,6,3,negative,1052427
401,2020,6,3,neutral,735290
402,2020,6,3,positive,138224
403,2020,6,4,negative,1045597
404,2020,6,4,neutral,733583
405,2020,6,4,positive,129475
406,2020,6,5,negative,776734
407,2020,6,5,neutral,565347
408,2020,6,5,positive,114832
409,2020,6,6,negative,1299103
410,2020,6,6,neutral,1113715
411,2020,6,6,positive,233194
412,2020,6,7,negative,1387285
413,2020,6,7,neutral,998665
414,2020,6,7,positive,215192
415,2020,6,8,negative,1176269
416,2020,6,8,neutral,1120393
417,2020,6,8,positive,248729
418,2020,6,9,negative,1204569
419,2020,6,9,neutral,1244284
420,2020,6,9,positive,262520
421,2020,6,10,negative,1336280
422,2020,6,10,neutral,1296358
423,2020,6,10,positive,291954
424,2020,6,11,negative,1321069
425,2020,6,11,neutral,1405301
426,2020,6,11,positive,289951
427,2020,6,12,negative,1363457
428,2020,6,12,neutral,1336712
429,2020,6,12,positive,297217
430,2020,6,13,negative,1402478
431,2020,6,13,neutral,1200707
432,2020,6,13,positive,286161
433,2020,6,14,negative,1450128
434,2020,6,14,neutral,1068296
